country;density;year
GIN;34,156;1962
GNB;36,956;1962
GUY;58,147;1962
HTI;41,956;1962
HND;45,931;1962
HKG;64,565;1962
HUN;65,7;1962
ISL;71,4;1962
IND;43,134;1962
IDN;48,578;1962
IRN;46,618;1962
IRQ;50,993;1962
IRL;68,217;1962
ISR;70,6;1962
ITA;66,54;1962
JAM;63,802;1962
JPN;66,19;1962
JOR;53,844;1962
KAZ;54,062;1962
KEN;45,662;1962
KIR;48,166;1962
PRK;48,998;1962
KOR;51,929;1962
KWT;60,629;1962
KGZ;52,889;1962
LAO;42,195;1962
LVA;65,85;1962
LBN;62,157;1962
LSO;45,752;1962
LBR;33,099;1962
LBY;44,639;1962
LTU;65,91;1962
LUX;65,863;1962
MAC;63,864;1962
MKD;61,359;1962
MDG;40,01;1962
MWI;37,641;1962
MYS;59,804;1962
MDV;38,529;1962
MLI;27,707;1962
MLT;67,384;1962
MRT;44,274;1962
MUS;58,843;1962
MEX;56,17;1962
FSM;57,847;1962
MDA;58,872;1962
MNG;48,042;1962
MNE;63,818;1962
MAR;48,251;1962
MOZ;34,563;1962
MMR;41,346;1962
NAM;46,032;1962
NPL;35,825;1962
NLD;71,08;1962
NCL;57;1962
NZL;68,5;1962
NIC;46,991;1962
NER;34,711;1962
NGA;36,492;1962
NOR;70,97;1962
OMN;43,421;1962
PAK;46,953;1962
PAN;60,831;1962
PNG;41,21;1962
PRY;62,303;1962
PER;47,464;1962
PHL;57,203;1962
POL;64,5;1962
PRT;60,88;1962
PRI;66,363;1962
QAT;60,871;1962
ROU;65,152;1962
RUS;62,958;1962
RWA;41,286;1962
WSM;47,75;1962
STP;50,129;1962
SAU;44,715;1962
SEN;37,686;1962
SLE;29,264;1962
SGP;63,142;1962
SVK;68,184;1962
SVN;66,1;1962
SLB;49,65;1962
SOM;36,27;1962
ZAF;50,815;1962
SSD;31,216;1962
ESP;67,08;1962
LKA;58,105;1962
LCA;55,217;1962
VCT;57,886;1962
SDN;47,626;1962
SUR;58,586;1962
SWZ;42,918;1962
SWE;71,37;1962
CHE;68,44;1962
SYR;51,854;1962
TJK;54,622;1962
TZA;42,512;1962
THA;53,454;1962
TLS;34,181;1962
TGO;40,579;1962
TON;61,689;1962
TTO;62,048;1962
TUN;42,369;1962
TUR;44,025;1962
TKM;51,795;1962
UGA;43,609;1962
UKR;66,41;1962
ARE;51,876;1962
GBR;68;1962
USA;66,9;1962
URY;65,242;1962
UZB;55,861;1962
VUT;46,276;1962
VEN;58,743;1962
VNM;56,772;1962
VIR;65,225;1962
YEM;33,602;1962
ZMB;44,38;1962
ZWE;50,714;1962
AFG;32,903;1963
ALB;63,811;1963
DZA;46,764;1963
AGO;32,774;1963
ATG;60,676;1963
ARG;62,485;1963
ARM;64,092;1963
ABW;65,053;1963
AUS;67,78;1963
AUT;66,39;1963
AZE;58,127;1963
BHS;61,619;1963
BHR;53,331;1963
BGD;47,389;1963
BRB;60,013;1963
BLR;66,215;1963
BEL;67,11;1963
BLZ;60,408;1963
BEN;38,05;1963
BTN;35,161;1963
BOL;41,815;1963
BIH;60,429;1963
BWA;49,85;1963
BRA;53,738;1963
BRN;62,724;1963
BGR;68,68;1963
BFA;34,826;1963
BDI;40,63;1963
CPV;48,471;1963
KHM;39,994;1963
CMR;41,566;1963
CAN;68,41;1963
CAF;36,174;1963
TCD;37,01;1963
CHI;68,006;1963
CHL;55,68;1963
CHN;44,596;1963
COL;56,531;1963
COM;41,175;1963
COD;40,298;1963
COG;49,073;1963
CRI;61,26;1963
CIV;37,827;1963
HRV;62,943;1963
CUB;64,169;1963
CYP;68,592;1963
CZE;67,28;1963
DNK;70,42;1963
DJI;44,013;1963
DOM;52,498;1963
ECU;53,618;1963
EGY;48,22;1963
SLV;49,567;1963
GNQ;36,145;1963
ERI;38,769;1963
EST;65,096;1963
ETH;38,79;1963
FJI;55,339;1963
FIN;65,52;1963
FRA;67,1;1963
PYF;55,969;1963
GAB;39,383;1963
GMB;31,866;1963
GEO;60,892;1963
DEU;67,184;1963
GHA;46,696;1963
GRC;66,874;1963
GRD;59,223;1963
GUM;60,587;1963
GTM;47,536;1963
GIN;34,332;1963
GNB;37,302;1963
GUY;58,347;1963
HTI;42,524;1963
HND;46,569;1963
HKG;65,1;1963
HUN;66,64;1963
ISL;70,16;1963
IND;43,762;1963
IDN;49,2;1963
IRN;47,061;1963
IRQ;52,186;1963
IRL;68,31;1963
ITA;66,57;1963
JAM;64,287;1963
JPN;67,18;1963
JOR;54,533;1963
KAZ;54,481;1963
KEN;46,24;1963
KIR;48,689;1963
PRK;49,427;1963
KOR;52,602;1963
KWT;61,277;1963
KGZ;53,331;1963
LAO;42,521;1963
LVA;66,19;1963
LBN;62,441;1963
LSO;46,076;1963
LBR;33,524;1963
LBY;46,205;1963
LTU;66,78;1963
LUX;66,066;1963
MAC;64,278;1963
MKD;61,92;1963
MDG;40,491;1963
MWI;37,83;1963
MYS;60,328;1963
MDV;39,232;1963
MLI;27,932;1963
MLT;67,686;1963
MRT;44,841;1963
MUS;59,564;1963
MEX;56,619;1963
FSM;58,245;1963
MDA;59,304;1963
MNG;48,899;1963
MNE;64,399;1963
MAR;48,765;1963
MOZ;34,97;1963
MMR;42,24;1963
NAM;46,655;1963
NPL;36,292;1963
NLD;71,02;1963
NCL;57,4;1963
NZL;68,5;1963
NIC;47,631;1963
NER;34,788;1963
NGA;36,922;1963
NOR;70,78;1963
OMN;44,177;1963
PAK;47,815;1963
PAN;61,288;1963
PNG;41,751;1963
PRY;62,493;1963
PER;47,935;1963
PHL;57,477;1963
POL;65,4;1963
PRT;61,264;1963
PRI;66,516;1963
QAT;61,7;1963
ROU;65,504;1963
RUS;63,216;1963
RWA;41,558;1963
WSM;48,25;1963
STP;50,666;1963
SAU;45,262;1963
SEN;37,693;1963
SLE;29,52;1963
SGP;63,453;1963
SVK;68,232;1963
SVN;65,5;1963
SLB;50,15;1963
SOM;36,669;1963
ZAF;51,176;1963
SSD;31,638;1963
ESP;67,13;1963
LKA;58,551;1963
LCA;55,893;1963
VCT;58,818;1963
SDN;48,035;1963
SUR;58,929;1963
SWZ;43,203;1963
SWE;71,57;1963
CHE;68,29;1963
SYR;52,468;1963
TJK;55,039;1963
TZA;42,772;1963
THA;53,928;1963
TLS;34,683;1963
TGO;41,176;1963
TON;62,009;1963
TTO;62,397;1963
TUN;43,112;1963
TUR;44,815;1963
TKM;52,214;1963
UGA;44,203;1963
UKR;66,646;1963
ARE;52,975;1963
GBR;67,9;1963
USA;66,6;1963
URY;65,378;1963
UZB;56,24;1963
VUT;46,879;1963
VEN;59,239;1963
VNM;57,284;1963
VIR;65,485;1963
YEM;34,038;1963
ZMB;44,738;1963
ZWE;51,062;1963
AFG;33,338;1964
ALB;64,346;1964
DZA;47,198;1964
AGO;33,136;1964
ATG;61,042;1964
ARG;62,499;1964
ARM;64,522;1964
ABW;65,356;1964
AUS;67,72;1964
AUT;66,8;1964
AZE;58,316;1964
BHS;61,883;1964
BHR;54,721;1964
BGD;47,949;1964
BRB;60,508;1964
BLR;66,447;1964
BEL;67,76;1964
BLZ;61,018;1964
BEN;38,458;1964
BTN;35,634;1964
BOL;42,159;1964
BIH;60,954;1964
BWA;50,199;1964
BRA;54,152;1964
BRN;63,201;1964
BGR;69,37;1964
BFA;35,297;1964
BDI;40,941;1964
CPV;48,912;1964
KHM;40,15;1964
CMR;42,005;1964
CAN;68,63;1964
CAF;36,62;1964
TCD;37,373;1964
CHI;68,091;1964
CHL;56,095;1964
CHN;46,116;1964
COL;56,972;1964
COM;41,581;1964
COD;40,538;1964
COG;49,564;1964
CRI;61,859;1964
CIV;38,429;1964
HRV;63,192;1964
CUB;64,814;1964
CYP;68,894;1964
CZE;67,44;1964
DNK;70,29;1964
DJI;44,434;1964
DOM;53,173;1964
ECU;54,079;1964
EGY;48,631;1964
SLV;50,065;1964
GNQ;36,441;1964
ERI;39,273;1964
EST;65,327;1964
ETH;39,3;1964
FJI;55,773;1964
FIN;65,66;1964
FRA;67,2;1964
PYF;56,305;1964
GAB;40,042;1964
GMB;32,343;1964
GEO;61,294;1964
DEU;67,302;1964
GHA;47,048;1964
GRC;67,087;1964
GRD;59,601;1964
GUM;61,056;1964
GTM;48,05;1964
GIN;34,498;1964
GNB;37,672;1964
GUY;58,544;1964
HTI;43,082;1964
HND;47,187;1964
HKG;65,599;1964
HUN;67,02;1964
ISL;70,81;1964
IND;44,395;1964
IDN;49,811;1964
IRN;47,502;1964
IRQ;53,33;1964
IRL;68,393;1964
ITA;67,58;1964
JAM;64,737;1964
JPN;67,63;1964
JOR;55,219;1964
KAZ;54,898;1964
KEN;46,805;1964
KIR;49,195;1964
PRK;50,07;1964
KOR;53,287;1964
KWT;61,887;1964
KGZ;53,772;1964
LAO;42,847;1964
LVA;67,35;1964
LBN;62,719;1964
LSO;46,321;1964
LBR;34,01;1964
LBY;47,686;1964
LTU;68,27;1964
LUX;66,233;1964
MAC;64,685;1964
MKD;62,468;1964
MDG;40,972;1964
MWI;38,017;1964
MYS;60,823;1964
MDV;39,953;1964
MLI;28,233;1964
MLT;67,981;1964
MRT;45,376;1964
MUS;60,113;1964
MEX;57,019;1964
FSM;58,643;1964
MDA;59,732;1964
MNG;49,67;1964
MNE;64,919;1964
MAR;49,242;1964
MOZ;35,359;1964
MMR;43,239;1964
NAM;47,264;1964
NPL;36,805;1964
NLD;71,27;1964
NCL;57,8;1964
NZL;68,5;1964
NIC;48,271;1964
NER;34,862;1964
NGA;37,33;1964
NOR;71,23;1964
OMN;44,92;1964
PAK;48,638;1964
PAN;61,729;1964
PNG;42,36;1964
PRY;62,659;1964
PER;48,39;1964
PHL;57,736;1964
POL;65,8;1964
PRT;61,638;1964
PRI;66,705;1964
QAT;62,526;1964
ROU;65,648;1964
RUS;63,367;1964
RWA;41,812;1964
WSM;48,75;1964
STP;51,185;1964
SAU;45,842;1964
SEN;37,655;1964
SLE;29,806;1964
SGP;63,699;1964
SVK;68,184;1964
SVN;65,2;1964
SLB;50,65;1964
SOM;37,07;1964
ZAF;51,54;1964
SSD;32,062;1964
ESP;67,79;1964
LKA;59,054;1964
LCA;56,515;1964
VCT;59,647;1964
SDN;48,439;1964
SUR;59,277;1964
SWZ;43,495;1964
SWE;71,66;1964
CHE;69,19;1964
SYR;53,103;1964
TJK;55,455;1964
TZA;43,046;1964
THA;54,384;1964
TLS;35,183;1964
TGO;41,768;1964
TON;62,321;1964
TTO;62,647;1964
TUN;43,918;1964
TUR;45,599;1964
TKM;52,632;1964
UGA;44,792;1964
UKR;66,797;1964
ARE;54,069;1964
GBR;68,6;1964
USA;66,8;1964
URY;65,469;1964
UZB;56,621;1964
VUT;47,48;1964
VEN;59,712;1964
VNM;57,713;1964
VIR;65,755;1964
YEM;34,648;1964
ZMB;45,086;1964
ZWE;51,398;1964
AFG;33,771;1965
ALB;64,723;1965
DZA;47,62;1965
AGO;33,511;1965
ATG;61,399;1965
ARG;62,536;1965
ARM;64,953;1965
ABW;65,66;1965
AUS;67,66;1965
AUT;66,61;1965
AZE;58,511;1965
BHS;62,142;1965
BHR;56,043;1965
BGD;48,385;1965
BRB;61,002;1965
BLR;66,614;1965
BEL;67,64;1965
BLZ;61,631;1965
BEN;38,861;1965
BMU;65,61;1965
BTN;36,152;1965
BOL;42,511;1965
BIH;61,466;1965
BWA;50,554;1965
BRA;54,553;1965
BRN;63,644;1965
BGR;69,45;1965
BFA;35,768;1965
BDI;41,236;1965
CPV;49,426;1965
KHM;40,306;1965
CMR;42,442;1965
CAN;68,76;1965
CAF;37,1;1965
TCD;37,752;1965
CHI;68,189;1965
CHL;56,543;1965
CHN;47,956;1965
COL;57,389;1965
COM;41,985;1965
COD;40,8;1965
COG;50,016;1965
CRI;62,406;1965
CIV;39,021;1965
HRV;63,434;1965
CUB;65,454;1965
CYP;69,188;1965
CZE;67,09;1965
DNK;70,2;1965
DJI;44,873;1965
DOM;53,832;1965
ECU;54,494;1965
EGY;49,016;1965
SLV;50,505;1965
GNQ;36,737;1965
ERI;39,722;1965
EST;65,503;1965
ETH;39,754;1965
FJI;56,197;1965
FIN;65,29;1965
FRA;67,3;1965
PYF;56,659;1965
GAB;40,8;1965
GMB;32,901;1965
GEO;61,688;1965
DEU;67,405;1965
GHA;47,373;1965
GRC;67,258;1965
GRD;59,966;1965
GUM;61,514;1965
GTM;48,583;1965
GIN;34,656;1965
GNB;38,061;1965
GUY;58,734;1965
HTI;43,624;1965
HND;47,782;1965
HKG;66,058;1965
HUN;66,72;1965
ISL;71,42;1965
IND;45,034;1965
IDN;50,414;1965
IRN;47,954;1965
IRQ;54,408;1965
IRL;68,469;1965
ITA;67,44;1965
JAM;65,151;1965
JPN;67,68;1965
JOR;55,899;1965
KAZ;55,31;1965
KEN;47,359;1965
KIR;49,689;1965
PRK;50,945;1965
KOR;53,992;1965
KWT;62,46;1965
KGZ;54,206;1965
LAO;43,174;1965
LVA;66,79;1965
LBN;62,995;1965
LSO;46,5;1965
LBR;34,548;1965
LBY;49,051;1965
LTU;68,13;1965
LUX;66,362;1965
MAC;65,091;1965
MKD;63,001;1965
MDG;41,453;1965
MWI;38,217;1965
MYS;61,29;1965
MDV;40,688;1965
MLI;28,619;1965
MLT;68,269;1965
MRT;45,88;1965
MUS;60,49;1965
MEX;57,382;1965
FSM;59,042;1965
MDA;60,141;1965
MNG;50,353;1965
MNE;65,38;1965
MAR;49,68;1965
MOZ;35,738;1965
MMR;44,302;1965
NAM;47,848;1965
NPL;37,353;1965
NLD;71,12;1965
NCL;58,2;1965
NZL;68,3;1965
NIC;48,916;1965
NER;34,933;1965
NGA;37,72;1965
NOR;71,05;1965
OMN;45,649;1965
PAK;49,422;1965
PAN;62,155;1965
PNG;43,026;1965
PRY;62,8;1965
PER;48,852;1965
PHL;57,984;1965
POL;66,6;1965
PRT;62,008;1965
PRI;66,941;1965
QAT;63,345;1965
ROU;65,632;1965
RUS;63,433;1965
RWA;42,038;1965
WSM;49,25;1965
STP;51,698;1965
SAU;46,474;1965
SEN;37,603;1965
SLE;30,168;1965
SGP;63,898;1965
SVK;68,058;1965
SVN;65;1965
SLB;51,15;1965
SOM;37,473;1965
ZAF;51,905;1965
SSD;32,485;1965
ESP;68,18;1965
LKA;59,607;1965
LCA;57,085;1965
VCT;60,367;1965
SDN;48,843;1965
SUR;59,627;1965
SWZ;43,811;1965
SWE;71,73;1965
CHE;69,47;1965
SYR;53,765;1965
TJK;55,866;1965
TZA;43,338;1965
THA;54,827;1965
TLS;35,719;1965
TGO;42,353;1965
TON;62,627;1965
TTO;62,802;1965
TUN;44,791;1965
TUR;46,361;1965
TKM;53,045;1965
UGA;45,359;1965
UKR;66,871;1965
ARE;55,149;1965
GBR;68,6;1965
USA;66,8;1965
URY;65,519;1965
UZB;56,999;1965
VUT;48,076;1965
VEN;60,165;1965
VNM;57,948;1965
VIR;66,041;1965
YEM;35,409;1965
ZMB;45,433;1965
ZWE;51,723;1965
AFG;34,204;1966
ALB;64,962;1966
DZA;48,023;1966
AGO;33,897;1966
ATG;61,748;1966
ARG;62,612;1966
ARM;65,384;1966
ABW;65,959;1966
AUS;67,6;1966
AUT;66,88;1966
AZE;58,712;1966
BHS;62,395;1966
BHR;57,287;1966
BGD;48,605;1966
BRB;61,484;1966
BLR;66,719;1966
BEL;67,76;1966
BLZ;62,239;1966
BEN;39,255;1966
BTN;36,705;1966
BOL;42,87;1966
BIH;61,975;1966
BWA;50,924;1966
BRA;54,944;1966
BRN;64,057;1966
BGR;69,36;1966
BFA;36,231;1966
BDI;41,498;1966
CPV;49,98;1966
KHM;40,468;1966
CMR;42,879;1966
